Action id,"
Municipality/Region name ",Province,Action Label/Name and Description,"Policy lever (voluntary, price, investments, mandating) (i.e., mode of governance)","Strategy
(Managable Coding)","Action
(Managable Coding)","Internal funding secured (i.e., funding from local gov budget) - Yes/No","External funding secured (e.g., from private sector, provincial/ferderal govt, etc.) - Yes/No","Project stage (e.g., planned, underway, ongoing, complete, not indicated)",,,,,,,,,
ID-District of North Vancouver-009,District of North Vancouver,British Columbia,Support and encourage the installation of decentralized renewable energy (e.g. solar PV) throughout the District.,Voluntary Action,Encourage Improved Energy Efficiency Performance of Existing Buildings,"Promote voluntary “stretch” building energy conservation codes, green-building principles, and retrofits by providing information, technical assistance, resources, and/or facilitating partnerships",No,No,Underway,,,,,,,,,
ID-District of Saanich-001,District of Saanich,British Columbia,"Accelerate adoption of net-zero carbon new construction. Develop regulatory tools or incentive programs to achieve net-zero carbon new construction (i.e., electric water and heating systems with on-site renewable energy systems) and/or meet the upper steps of the BC Energy Step Code.",Information gathering phase - lever not yet identified,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-District of Saanich-002,District of Saanich,British Columbia,"Require new construction to achieve upper steps of the BC Energy Step Code by 2025. Develop timelines for achieving higher steps of the BC Energy Step Code so that the highest steps are required for new construction in Saanich by 2025 or sooner. Timelines should be announced well in advance to allow industry to prepare for the new requirements. Also, because the Step Code currently has no requirements for GHG emission performance, develop and implement relaxations to Step Code requirements for buildings with net-zero GHG emissions. The District will continue to advocate for the incorporation of GHG performance into the BC Energy Step Code, and it will also explore other ways it can incentivize or regulate GHG emissions in new buildings in Saanich. ",Mandates,Mandate No- to Low Carbon Standards for New Construction,"Adopt/phase-in building and energy conservation codes based on carbon neutral, zero net energy, Passive House, Living Buildings, and other cost-effective high-efficiency approaches",No,No,Underway,,,,,,,,,
ID-District of Saanich-003,District of Saanich,British Columbia,"Support building industry capacity development. Initiate or participate in a project that helps understand training needs and opportunities and supports skills development for high performance buildings and renewable energy technologies. Work with partners to support training programs for industry on building practices that improve climate resilience (e.g., high-quality heat pump installations, passive design techniques, incorporation of climate projections into designs, etc.).",Price Signals,Subsidize Capacity Building,Support efforts to train professionals in the building industry,No,No,Underway,,,,,,,,,
ID-District of Saanich-004,District of Saanich,British Columbia," Advocate for GHG performance metrics in the BC Building Code. Advocate for the incorporation of GHG performance metrics (e.g., GHG intensity) into the BC Building Code and/or the BC Energy Step Code by the provincial government.",Mandates,Mandate Performance Improvement within buildings activity sector ,Advocate to higher levels of government for new mitigation mandates for buildings,No,No,Underway,,,,,,,,,
ID-District of Saanich-005,District of Saanich,British Columbia,Require energy benchmarking for new Part 3 buildings. Introduce mandatory benchmarking for new Part 3 buildings as part of upper steps of the BC Step Code requirement.,Mandates,Mandate Performance Improvement of Existing Buildings,"Require targeted buildings (e.g., commercial above certain amount of floor area) to benchmark (measure and disclose) energy performance, and/or conduct energy audits, and/or install energy sub-meters for large tenants",No,No,Underway,,,,,,,,,
ID-District of Saanich-006,District of Saanich,British Columbia,"Launch a Home Energy Retrofit Municipal Financing pilot project. Launch the Home Energy Retrofi t Municipal Financing pilot project to provide fi nancing to homeowners who convert oil heating to heat pumps (prioritized for lower income households). The pilot project will fi nance 25 oil to heat pump conversions each year for two years and enable homeowners to repay the District through energy cost savings over time. If successful, the project will be considered for scaling up and for including more energy retrofi t measures.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway,,,,,,,,,
ID-District of Saanich-007,District of Saanich,British Columbia,Phase out oil heating by 2030 (Work with the province and other local governments to develop a strategy for mandatory oil tank removal in order to phase out oil heating by 2030). Work with the province and other local governments to develop a strategy for mandatory oil tank removal in order to phase out oil heating by 2030.,Public Investment,Invest in Technology Development and Deployment ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-District of Saanich-008,District of Saanich,British Columbia,"  Carry out effective communications campaigns to promote conversion to renewable energy systems. Carry out effective communications campaigns to building owners, encouraging conversion to renewable energy systems from fossil fuels (i.e., oil, propane, natural gas) and discouraging the replacement of electric systems with natural gas systems",Voluntary Action,Promote Energy Conservation Behaviors by Building Occupants/Tenants,Conduct public education programs and campaigns that promote energy-saving measures ,No,No,Underway,,,,,,,,,
ID-District of Saanich-009,District of Saanich,British Columbia," Explore regulatory power to require efficiency and renewable energy upgrades. Work with the Province to explore policies that would require building envelope upgrades and efficient renewable energy upgrades at the time of new construction, major renovation or heating system replacement. Explore options for energy requirements (e.g., EnerGuide home evaluation, air sealing, attic insulation) for major renovations over certain cost thresholds.",Mandates,Information gathering phase - strategy not yet identified ,Information gathering phase - action not yet identified ,No,No,Underway,,,,,,,,,
ID-District of Saanich-010,District of Saanich,British Columbia," Increase top-up rebates for conversion from fossil fuel to renewable energy systems. Increase the value of top-up rebates for each home that upgrades from natural gas, oil or propane to electric heat pump and heat pump hot water heater.",Price Signals,Increase Access to Financing,Advocate for and/or improve access to specialized financing to pay for efficiency improvements,No,No,Underway,,,,,,,,,
